,11,13,15,17,21,23,25,27,31,33,35,37,41,43,45,47,51,53,55,57,61,63,65
66,,,,,,,,,w,,w,,w,,w,,,,,,,,
64,,,,,,y,,r,,y,,r,,y,,r,,y,,,,,
62,,,,,w,,w,,ЛАР-8,,w,,w,,ЛАР-9,,w,,w,,,,
60,,,,w,,w,,CLEAR,,w,,w,,w,,CLEAR,,w,,w,,,
56,,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,
54,,y,,w,,y,,w,,y,,1АР-3,,y,,w,,y,,w,,y,
52,,,r,,w,,r,,w,,r,,w,,r,,w,,r,,w,,
50,,w,,CLEAR,,w,,2АР-2,,w,,CLEAR,,w,,2АР-3,,w,,CLEAR,,w,
46,w,,ЛАР-7,,w,,w,,ЛАР-2,,w,,w,,ЛАР-3,,w,,w,,ЛАР-10,,w
44,,y,,w,,y,,w,,y,,АРМ-3,,y,,w,,y,,w,,y,
42,w,,w,,w,,r,,w,,r,,w,,r,,w,,r,,w,,w
40,,r,,w,,1АР-2,,CLEAR,,АРМ-2,,w,,АРМ-4,,CLEAR,,1АР-4,,w,,r,
36,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w
34,,y,,w,,y,,w,,y,,АРМ-1,,y,,w,,y,,w,,y,
32,w,,ЛАР-6,,w,,w,,ЛАР-1,,w,,w,,ЛАР-4,,w,,w,,ЛАР-11,,w
30,,r,,CLEAR,,r,,2АР-1,,r,,CLEAR,,r,,2АР-4,,r,,CLEAR,,r,
26,,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w
24,,y,,w,,y,,w,,y,,1АР-1,,y,,CLEAR,,y,,w,,y,
22,,,w,,w,,w,,w,,w,,w,,w,,w,,w,,w,,
20,,,,w,,r,,CLEAR,,r,,w,,r,,CLEAR,,r,,w,,,
16,,,,,w,,w,,ЛАР-5,,w,,w,,ЛАР-12,,w,,w,,,,
14,,,,,,y,,w,,y,,w,,y,,w,,y,,,,,
12,,,,,,,,,w,,w,,w,,w,,w,,,,,,
