,11,13,15,17,21,23,25,27,31,33,35,37,41,43,45,47,51,53,55,57,61,63,65
66,,,,,,,,,g,,g,,g,,g,,,,,,,,
64,,,,,,y,,r,,y,,r,,y,,r,,y,,,,,
62,,,,,g,,w,,48,,w,,w,,49,,w,,g,,,,
60,,,,g,,g,,,,g,,g,,g,,,,g,,g,,,
56,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,
54,,y,,w,,y,,g,,y,,13,,y,,g,,y,,w,,y,
52,,,r,,g,,r,,g,,r,,g,,r,,g,,r,,g,,
50,,g,,,,g,,22,,g,,,,g,,23,,g,,,,g,
46,w,,47,,w,,w,,42,,g,,w,,43,,w,,w,,410,,w
44,,y,,g,,y,,g,,y,,33,,y,,g,,y,,g,,y,
42,g,,g,,g,,r,,g,,r,,g,,r,,g,,r,,g,,g
40,,r,,g,,12,,,,32,,g,,34,,,,14,,g,,r,
36,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g
34,,y,,g,,y,,g,,y,,31,,y,,g,,y,,g,,y,
32,w,,46,,w,,w,,41,,g,,w,,44,,w,,w,,411,,w
30,,r,,,,r,,21,,r,,,,r,,24,,r,,,,r,
26,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g
24,,y,,g,,y,,g,,y,,11,,y,,g,,y,,g,,y,
22,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,
20,,,,g,,r,,,,r,,g,,r,,,,r,,g,,,
16,,,,,g,,w,,45,,w,,w,,412,,w,,g,,,,
14,,,,,,y,,g,,y,,g,,y,,g,,y,,,,,
12,,,,,,,,,g,,g,,g,,g,,g,,,,,,
