;11;13;15;17;21;23;25;27;31;33;35;37;41;43;45;47;51;53;55;57;61;63;65
66;;;;;;;;;w;;w;;w;;w;;;;;;;;
64;;;;;;y;;r;;y;;r;;y;;r;;y;;;;;
62;;;;;w;;w;;???-8;;w;;w;;???-9;;w;;w;;;;
60;;;;w;;w;;w;;w;;w;;w;;w;;w;;w;;;
56;;;w;;w;;w;;w;;w;;w;;w;;w;;w;;w;;
54;;y;;w;;y;;w;;y;;1??-3;;y;;w;;y;;w;;y;
52;;;r;;w;;r;;w;;r;;w;;r;;w;;r;;w;;
50;;w;;w;;w;;2??-2;;w;;w;;w;;2??-3;;w;;w;;w;
46;w;;???-7;;w;;w;;???-2;;w;;w;;???-3;;w;;w;;???-10;;w
44;;y;;w;;y;;w;;y;;???-3;;y;;w;;y;;w;;y;
42;w;;w;;w;;r;;w;;r;;w;;r;;w;;r;;w;;w
40;;r;;w;;1??-2;;w;;???-2;;w;;???-4;;w;;1??-4;;w;;r;
36;w;;w;;w;;w;;w;;w;;w;;w;;w;;w;;w;;w
34;;y;;w;;y;;w;;y;;???-1;;y;;w;;y;;w;;y;
32;w;;???-6;;w;;w;;???-1;;w;;w;;???-4;;w;;w;;???-11;;w
30;;r;;w;;r;;2??-1;;r;;w;;r;;2??-4;;r;;w;;r;
26;;;w;;w;;w;;w;;w;;w;;w;;w;;w;;w;;w
24;;y;;w;;y;;w;;y;;1??-1;;y;;w;;y;;w;;y;
22;;;w;;w;;w;;w;;w;;w;;w;;w;;w;;w;;
20;;;;w;;r;;w;;r;;w;;r;;w;;r;;w;;;
16;;;;;w;;w;;???-5;;w;;w;;???-12;;w;;w;;;;
14;;;;;;y;;w;;y;;w;;y;;w;;y;;;;;
12;;;;;;;;;w;;w;;w;;w;;w;;;;;;
