,11,13,15,17,21,23,25,27,31,33,35,37,41,43,45,47,51,53,55,57,61,63,65
66,,,,,,,,,w,,w,,w,,w,,,,,,,,
64,,,,,,b,,b,,y,,w,,y,,w,,w,,,,,
62,,,,,b,,b,,w,,w,,w,,w,,w,,w,,,,
60,,,,b,,b,,b,,w,,w,,w,,b,,w,,b,,,
56,,,b,,b,,b,,b,,w,,w,,w,,w,,b,,b,,
54,,b,,b,,y,,b,,y,,c,,y,,w,,y,,b,,b,
52,,,b,,b,,b,,b,,w,,w,,w,,b,,b,,b,,
50,,b,,b,,b,,c,,b,,b,,w,,c,,b,,b,,b,
46,w,,b,,b,,b,,b,,w,,w,,w,,b,,b,,b,,b
44,,y,,b,,y,,b,,y,,c,,y,,b,,y,,b,,y,
42,w,,w,,w,,w,,b,,b,,b,,b,,b,,b,,b,,b
40,,w,,w,,c,,b,,c,,w,,c,,b,,c,,b,,b,
36,w,,w,,w,,w,,w,,w,,w,,w,,b,,b,,b,,b
34,,y,,w,,y,,w,,y,,c,,y,,w,,y,,b,,y,
32,w,,w,,w,,w,,b,,b,,b,,w,,w,,w,,w,,w
30,,w,,b,,w,,c,,b,,b,,w,,c,,w,,b,,w,
26,,,w,,w,,w,,b,,b,,b,,w,,w,,w,,w,,w
24,,w,,w,,y,,b,,y,,c,,y,,w,,y,,w,,w,
22,,,w,,w,,b,,b,,b,,b,,w,,w,,w,,w,,
20,,,,w,,b,,b,,b,,b,,b,,b,,w,,w,,,
16,,,,,b,,b,,b,,b,,b,,b,,w,,w,,,,
14,,,,,,b,,b,,y,,b,,y,,w,,w,,,,,
12,,,,,,,,,b,,b,,b,,b,,w,,,,,,
