   ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67
67 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,w  ,y  ,w  ,w  ,y  ,w  ,w  ,w  ,y  ,w  ,w  ,w  ,y  ,w  ,y  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
66 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,w  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
65 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
64 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,y  ,g  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,g  ,w  ,y  ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
63 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,   ,   ,   ,   ,   ,   ,   ,   ,
62 ,   ,   ,   ,   ,   ,   ,   ,   ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,   ,   ,   ,   ,   ,   ,   ,
61 ,   ,   ,   ,   ,   ,   ,   ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,   ,   ,   ,   ,   ,   ,
60 ,   ,   ,   ,   ,   ,   ,y  ,g  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,y  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,y  ,w  ,y  ,w  ,g  ,w  ,y  ,w  ,g  ,y  ,w  ,   ,   ,   ,   ,   ,
57 ,   ,   ,   ,   ,   ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,w  ,   ,   ,   ,   ,
56 ,   ,   ,   ,   ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,w  ,g  ,w  ,w  ,   ,   ,   ,
