,11,13,15,17,21,23,25,27,31,33,35,37,41,43,45,47,51,53,55,57,61,63,65
66,,,,,,,,,w,,w,,w,,w,,,,,,,,
64,,,,,,r,,r,,y,,w,,y,,r,,w,,,,,
62,,,,,r,,r,,b,,w,,w,,b,,w,,w,,,,
60,,,,r,,r,,y,,w,,w,,w,,c,,w,,r,,,
56,,,r,,r,,r,,r,,w,,w,,w,,w,,r,,r,,
54,,r,,r,,y,,r,,y,,c,,y,,w,,y,,r,,r,
52,,,r,,r,,r,,r,,w,,w,,w,,w,,r,,r,,
50,,r,,y,,r,,c,,r,,y,,w,,c,,r,,y,,r,
46,w,,b,,r,,r,,b,,w,,w,,b,,r,,r,,b,,r
44,,y,,r,,y,,r,,y,,c,,y,,r,,y,,r,,y,
42,w,,w,,w,,w,,r,,r,,w,,r,,r,,r,,r,,r
40,,w,,w,,c,,y,,c,,r,,c,,y,,c,,r,,r,
36,w,,w,,w,,w,,w,,w,,w,,w,,r,,r,,r,,r
34,,y,,w,,y,,w,,y,,c,,y,,w,,y,,r,,y,
32,w,,b,,w,,w,,b,,r,,r,,b,,w,,w,,b,,w
30,,w,,y,,w,,c,,r,,y,,w,,c,,w,,w,,r,
26,,,w,,w,,w,,r,,r,,r,,w,,w,,w,,w,,w
24,,w,,w,,y,,r,,y,,c,,y,,w,,y,,w,,w,
22,,,w,,y,,r,,r,,r,,r,,w,,w,,w,,w,,
20,,,,w,,r,,y,,r,,r,,r,,y,,w,,w,,,
16,,,,,r,,r,,b,,r,,r,,b,,w,,w,,,,
14,,,,,,r,,r,,y,,r,,y,,w,,w,,,,,
12,,,,,,,,,r,,r,,r,,r,,w,,,,,,
