,11,13,15,17,21,23,25,27,31,33,35,37,41,43,45,47,51,53,55,57,61,63,65
66,,,,,,,,,1,,1,,1,,1,,,,,,,,
64,,,,,,1,,1,w,,w,1,w,,w,1,,1,,,,,
62,,,,,1,r,1,r,1,y,1,w,1,y,1,r,1,w,1,,,,
60,,,,1,r,1,r,,b,1,w,1,w,1,b,,w,1,w,1,,,
56,,,1,r,1,r,1,y,1,w,1,w,1,w,1,c,1,w,1,r,1,,
54,,1,r,1,r,,r,1,r,,w,1,w,,w,1,w,,r,1,r,1,
52,,r,1,r,1,y,1,r,1,y,1,c,1,y,1,w,1,y,1,r,1,r,
50,,1,r,,r,1,r,1,r,1,w,,w,1,w,1,w,1,r,,r,1,
46,1,r,1,y,1,r,1,c,1,r,1,y,1,w,1,c,1,r,1,y,1,r,1
44,w,,b,1,r,,r,1,b,,w,1,w,,b,1,r,,r,1,b,,r
42,1,y,1,r,1,y,1,r,1,y,1,c,1,y,1,r,1,y,1,r,1,y,1
40,w,1,w,1,w,1,w,,r,1,r,1,w,1,r,,r,1,r,1,r,1,r
36,1,w,1,w,1,c,1,y,1,c,1,r,1,c,1,y,1,c,1,r,1,r,1
34,w,,w,1,w,,w,1,w,,w,1,w,,w,1,r,,r,1,r,,r
32,1,y,1,w,1,y,1,w,1,y,1,c,1,y,1,w,1,y,1,r,1,y,1
30,w,1,b,,w,1,w,1,b,1,r,,r,1,b,1,w,1,w,,b,1,w
26,,w,1,y,1,w,1,v,1,r,1,y,1,w,1,c,1,w,1,w,1,r,1
24,,1,w,1,w,,w,1,r,,r,1,r,,w,1,w,,w,1,w,1,w
22,,w,1,w,1,y,1,r,1,y,1,c,1,y,1,w,1,y,1,w,1,w,
20,,,w,1,y,1,r,,r,1,r,1,r,1,w,,w,1,w,1,w,,
16,,,,w,1,r,1,y,1,r,1,r,1,r,1,y,1,w,1,w,,,
14,,,,,r,1,r,1,b,,r,1,r,,b,1,w,1,w,,,,
12,,,,,,r,,r,1,y,1,r,1,y,1,w,1,w,,,,,
