,11,13,15,17,21,23,25,27,31,33,35,37,41,43,45,47,51,53,55,57,61,63,65
66,,,,,,,,,g,,g,,g,,g,,,,,,,,
64,,,,,,g,,r,,y,,r,,y,,r,,g,,,,,
62,,,,,g,,w,,b,,w,,w,,b,,w,,g,,,,
60,,,,g,,g,,RE,,g,,g,,g,,RE,,g,,g,,,
56,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,
54,,g,,w,,y,,g,,y,,gr,,y,,g,,y,,w,,g,
52,,,r,,g,,r,,g,,r,,g,,r,,g,,r,,g,,
50,,g,,RE,,g,,gr,,g,,RE,,g,,gr,,g,,RE,,g,
46,w,,b,,w,,w,,b,,g,,w,,b,,w,,w,,b,,w
44,,y,,g,,y,,g,,y,,gr,,y,,g,,y,,g,,y,
42,g,,g,,g,,r,,g,,r,,g,,r,,g,,r,,g,,g
40,,r,,g,,gr,,RE,,gr,,g,,gr,,RE,,gr,,g,,r,
36,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g
34,,y,,g,,y,,g,,y,,gr,,y,,g,,y,,g,,y,
32,w,,b,,w,,w,,b,,g,,w,,b,,w,,w,,b,,w
30,,r,,RE,,r,,gr,,r,,RE,,r,,gr,,r,,RE,,r,
26,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g
24,,g,,g,,y,,g,,y,,gr,,y,,g,,y,,g,,g,
22,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,
20,,,,g,,r,,RE,,r,,g,,r,,RE,,r,,g,,,
16,,,,,g,,w,,b,,w,,w,,b,,w,,g,,,,
14,,,,,,g,,g,,y,,g,,y,,g,,g,,,,,
12,,,,,,,,,g,,g,,g,,g,,g,,,,,,
