,11,13,15,17,21,23,25,27,31,33,35,37,41,43,45,47,51,53,55,57,61,63,65,67
68,,,,,,,,,1,,1,,1,,1,,,,,,,,,
66,,,,,,,,,g,,g,,g,,g,,,,,,,,,
64,,,,,1,y,1,r,1,y,1,r,1,y,1,r,1,y,1,,,,,
62,,,,,g,,w,,b,,w,,w,,b,,w,,g,,,,,
60,,,1,g,1,g,1,RE,1,g,1,g,1,g,1,RE,1,g,1,g,1,,,
56,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,,
54,,y,1,w,1,y,1,g,1,y,1,gr,1,y,1,g,1,y,1,w,1,y,1,
52,,,r,,g,,r,,g,,r,,g,,r,,g,,r,,g,,,
50,1,g,1,RE,1,g,1,gr,1,g,1,RE,1,g,1,gr,1,g,1,RE,1,g,1,
46,w,,b,,w,,w,,b,,g,,w,,b,,w,,w,,b,,w,
44,1,y,1,g,1,y,1,g,1,y,1,gr,1,y,1,g,1,y,1,g,1,y,1,
42,g,,g,,g,,r,,g,,r,,g,,r,,g,,r,,g,,g,
40,1,r,1,g,1,gr,1,RE,1,gr,1,g,1,gr,1,RE,1,gr,1,g,1,r,1,1
36,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,
34,1,y,1,g,1,y,1,g,1,y,1,gr,1,y,1,g,1,y,1,g,1,y,1,
32,w,,b,,w,,w,,b,,g,,w,,b,,w,,w,,b,,w,
30,1,r,1,RE,1,r,1,gr,1,r,1,RE,1,r,1,gr,1,r,1,RE,1,r,1,
26,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,
24,1,y,1,g,1,y,1,g,1,y,1,gr,1,y,1,g,1,y,1,g,1,y,1,
22,,,g,,g,,g,,g,,g,,g,,g,,g,,g,,g,,,
20,,,1,g,1,r,1,RE,1,r,1,g,1,r,1,RE,1,r,1,g,1,,,
16,,,,,g,,w,,b,,w,,w,,b,,w,,g,,,,,
14,,,,,1,y,1,g,1,y,1,g,1,y,1,g,1,y,1,,,,,
12,,,,,,,1,,g,,g,,g,,g,,g,,1,,,,,
10,,,,,,,,,1,,1,,1,,1,,,,,,,,,
